X,Y,OBJECTID,CODI_ENS,NOM_ENS,TIPUS,MODEL,LONGITUD,LATITUD,EXTRACCIO
419743.1777,4576087.9083,24175,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.040888,41.332279,2023/04/10 07:10:15+00
419787.3249,4576046.3387,24176,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.041421,41.331909,2023/04/10 07:10:15+00
419856.0936,4576188.1435,24177,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.042224,41.333193,2023/04/10 07:10:15+00
419636.3195,4575983.2775,24178,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.039625,41.331326,2023/04/10 07:10:15+00
419822.517,4576080.4807,24179,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.041837,41.33222,2023/04/10 07:10:15+00
418880.8157,4576879.4918,24180,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030478,41.339322,2023/04/10 07:10:15+00
419302.6173,4576312.0802,24181,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.035594,41.334254,2023/04/10 07:10:15+00
419250.8652,4576271.463,24182,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.034981,41.333883,2023/04/10 07:10:15+00
419411.1725,4576411.2468,24183,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.036878,41.335158,2023/04/10 07:10:15+00
419459.1536,4576451.5739,24184,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.037446,41.335526,2023/04/10 07:10:15+00
419070.5321,4576347.7517,24185,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.032816,41.334552,2023/04/10 07:10:15+00
419985.1297,4576900.6524,24186,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.043672,41.339623,2023/04/10 07:10:15+00
418986.4761,4576547.1033,24187,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.031785,41.336339,2023/04/10 07:10:15+00
418905.0779,4576459.631,24188,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030824,41.335543,2023/04/10 07:10:15+00
419108.945,4576497.9937,24189,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.033255,41.335909,2023/04/10 07:10:15+00
419066.1618,4576811.3584,24190,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.032702,41.338727,2023/04/10 07:10:15+00
418850.0695,4576554.5119,24191,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.030154,41.336392,2023/04/10 07:10:15+00
419787.4465,4577488.3048,24192,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.041232,41.344896,2023/04/10 07:10:15+00
419260.4337,4578822.9818,24193,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.034756,41.356864,2023/04/10 07:10:15+00
419958.6033,4577166.1994,24194,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.04332,41.342012,2023/04/10 07:10:15+00
419650.4227,4577445.9634,24195,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.0396,41.344501,2023/04/10 07:10:15+00
419542.3043,4577376.9893,24196,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.038317,41.343869,2023/04/10 07:10:15+00
419686.9829,4576923.8205,24197,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.040106,41.339802,2023/04/10 07:10:15+00
419954.0521,4577072.2058,24198,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.043278,41.341165,2023/04/10 07:10:15+00
419999.1052,4576938.6932,24199,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.043834,41.339967,2023/04/10 07:10:15+00
419883.4872,4576835.0438,24200,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.042466,41.339022,2023/04/10 07:10:15+00
419925.0771,4576971.5978,24201,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.042945,41.340256,2023/04/10 07:10:15+00
419123.8017,4577620.6939,24202,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.033283,41.346022,2023/04/10 07:10:15+00
419004.9354,4577451.1415,24203,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.031885,41.344483,2023/04/10 07:10:15+00
419033.1076,4577606.272,24204,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.032201,41.345883,2023/04/10 07:10:15+00
419263.1684,4577587.8307,24205,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.034953,41.34574,2023/04/10 07:10:15+00
418805.0356,4577428.5045,24206,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.029499,41.344259,2023/04/10 07:10:15+00
418922.8777,4577603.2837,24207,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.030884,41.345845,2023/04/10 07:10:15+00
419602.3025,4577498.1262,24208,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.039018,41.344966,2023/04/10 07:10:15+00
418761.2663,4577487.6194,24209,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.028968,41.344787,2023/04/10 07:10:15+00
