,base_solution,heuristic,search,iterations,temp_coef,population_size,mutation_probability,tabu_queue_coef,swap_any_to_generate,TotalDistance,TotalTime,UnusedTrucksCount,OrphansCount,execution_time,TotalFuel,TrucksCount
310,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,500.0,,,,0.3,,1792.9823000000004,6.803362225202455,0,0,72.22191309928894,448.2455750000001,15
311,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,ANNEALING,3000.0,0.0001,,,,,1843.0265,4.953880002235173,0,0,127.83250617980957,460.756625,20
312,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,TABU,500.0,,,,0.5,,1755.6928999999998,13.124717781503067,0,0,75.02520990371704,438.92322499999995,10
313,SIMPLE_GREEDY,ANY_EXPORTATION_TIME1,TABU,500.0,,,,0.3,500.0,1783.6263,6.664202225202454,0,0,263.13183784484863,445.906575,15
314,CLUSTER,,NO_SEARCH,,,,,,,1846.0364000000006,5.049526668901841,0,0,84.87021517753601,461.50910000000016,20
315,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,ANNEALING,3000.0,1e-05,,,,,1741.2768999999998,12.861653337058621,0,0,235.27406692504883,435.31922499999996,10
316,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,TABU,200.0,,,,0.5,,1817.1544999999996,4.822353335568506,0,0,57.38278818130493,454.2886249999999,20
317,SIMPLE_GREEDY,REMOVE_LOOPS_SWAP_ANY_EXPORTATION,GENETIC,400.0,,10.0,0.3,,,1744.2894,12.855755559280848,0,0,213.9226360321045,436.07235,10
318,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,ANNEALING,5000.0,1e-05,,,,,1803.9391999999993,4.799982224457396,0,0,365.02537393569946,450.98479999999984,20
319,SIMPLE_GREEDY,REMOVE_LOOPS_MOVE_EXPORTATION,GENETIC,200.0,,10.0,0.1,,,1804.3474999999999,4.799982224457396,0,0,207.63351607322693,451.08687499999996,20
320,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,TABU,500.0,,,,0.3,500.0,1812.2960999999998,4.774520002235173,0,0,253.18145489692688,453.07402499999995,20
321,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,TABU,500.0,,,,0.3,,1805.1405,4.799982224457396,0,0,86.01933121681213,451.285125,20
322,SIMPLE_GREEDY,ANY_MOVE_SWAP,TABU,200.0,,,,0.3,,1744.8423999999998,12.915273337058625,0,0,70.03431606292725,436.21059999999994,10
323,SIMPLE_GREEDY,ANY_EXPORTATION_PROB1,TABU,500.0,,,,0.3,,1796.0313,6.905715558535789,0,0,78.64022088050842,449.007825,15
324,SIMPLE_GREEDY,MOVE_IN_EXPORTATION,GENETIC,400.0,,10.0,0.1,,,1780.7291,6.677811114091343,0,0,443.7611560821533,445.182275,15
