FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-206f,loc1172,1172,Lauwersstraat,199,huisvuil - loc1172,53.2049,6.5652,POINT (233709.95 580447.002)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-206e,loc1172,1172,Lauwersstraat,200,huisvuil - loc1172,53.2049,6.5652,POINT (233709.95 580447.002)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-206d,loc1173,1173,Hoornsediep Zuid,201,huisvuil - loc1173,53.2043,6.5648,POINT (233684.317 580379.797)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-206c,loc1174,1174,Maaslaan West,202,huisvuil - loc1174,53.2041,6.5663,POINT (233783.51 580362.497)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-206b,loc1175,1175,Merwedestraat Zuid,203,huisvuil - loc1175,53.2055,6.5678,POINT (233878.449 580523.223)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-206a,loc1175,1175,Merwedestraat Zuid,204,huisvuil - loc1175,53.2055,6.5678,POINT (233878.449 580523.223)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2069,loc1176,1176,Berkelstraat Zuid,205,huisvuil - loc1176,53.2066,6.5662,POINT (233772.31 580638.36)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2068,loc1177,1177,Maaslaan Oost,206,huisvuil - loc1177,53.2043,6.5674,POINT (233854.691 580382.585)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2067,Loc1178,1178,Waterloolaan West,207,huisvuil - Loc1178,53.2066,6.576,POINT (234431.073 580648.071)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-2066,loc1179,1179,Hereweg (hoek AOC Terra),1122,huisvuil - loc1179,53.2035,6.5753,POINT (234383.93 580305.573)
